text,label
Le crime le plus horrible jamais commis dans le Royaume !,1
"Tu es Volt, le Super-chien ! Tu es vraiment incroyable !",1
j'avais des sacs de bijoux stockés dans la cuisine.,0
"Le plus réel que j'aie jamais créé, ce qui fait de moi ta Fée Bleue.",1
"Sinon, gare aux crampes en vous tirant la nouille !",-1
Et c'est la plus topissime des équipes de kung-fu !,1
"Ce n'est pas très bon ça. J'ai un meilleur cocktail avec glace pilée,",-1
Je ne l'ai pas lu tout de suite. La lumière changeait.,-1
Non! Non! Ne tirez pas! Vous allez frapper mon ange!,-1
"Casey, c'est bien que tu te fasses couper les cheveux.",1
Vous êtes inefficace et dangereux. Je vous laisse. Vous vous débrouillerez tout seul.,-1
ce sera la meilleure décision que vous aurez jamais prise.,1
Ne me dis pas qu'elle a pensé que ce baiser valait un 4.,-1
"Pire que ça, vous avez mis ma famille en danger.",-1
Les hommes deviennent fous ! Fous ! Vrrr ! Fous !,-1
"2 $, 4 $, 6 $, jouez tapis. Ruinez-vous tous !",-1
Un de mes meilleurs amis est né moldu. Le meilleur de notre année.,1
T'as vu ça ? Un joli petit quartier de trafiquants.,-1
100 000 fois meilleure que toutes les pommes que j'ai mangées,1
Los Angeles a le meilleur transport public au monde !,1
Le Seigneur suprême de la guerre de toute la Chine.,1
T'as qu'à faire comme si c'était une bite de fille.,-1
"Oui, mais il faut pas éveiller les soupçons des autres.",-1
On le sortait plus souvent quand notre fille était petite.,0
"C'est interdit ! Verboten ! J'en vends pas, c'est personnel.",-1
Votre boutique de chapeaux est magnifique. Vous en avez de tous les styles !,1
Il a le plus grand cœur que j'aie jamais vu.,1
"Incroyable ! Je suis recouvert de poussière, Je vous admire beaucoup.",1
"Je ne suis pas un bonhomme, ni votre copain, ni votre frère, ni rien du tout ! Ne rêvez pas !",-1
Plutôt non ! Il ne convient pas de se précipiter ainsi.,-1
Aucun camion ne garde Volt et Rhino en prison !,-1
Elles avaient une vilaine peau. Trop fardées. C'était pas des beautés.,-1
"Parfait, nous aurons bientôt un carrosse tiré par quatre chevaux.",1
"et un short en jean. Sans poche à l'arrière, curieusement.",-1
Bien en avance sur son temps. Un vrai visionnaire. Un peu comme moi.,1
Aaahhh ! Mortecouille ! Ils vous ont peint une tronche violacée de pochtronné !,0
Arrêtez ! Vous n'êtes pas en colère ! Non ?,-1
"C'est un petit vin de propriétaire... un peu râpeux, peut-être, mais sincère. Je l'ai à très bon prix.",1
C'est une honte ! Vous pourriez être son grand-père !,-1
Magnifique. Sois prudent. Félicitations. Je te souhaite beaucoup de chance.,1
"On le traitait comme un bébé, pour son TP d'été.",0
Quel est le mot le pire que tu puisses imaginer?,-1
de m'avoir livré le plus puissant dispositif de tout l'univers.,1
Tu es la plus belle chose que j'aie jamais vue.,1
Je n'aime pas comme vous traitez mon homme de main.,-1
Je ne comprends vraiment pas ce qu'il fabrique dans les plantes.,-1
"Vous avez 17 ans, votre ami est aveugle. Là, ça ne marche pas.",-1
Y a une chance sur deux que ça la branche.,0
Je me sens vraiment mal. Tu as besoin d'un remontant.,-1
"Alors, comment ça va ? Eh, pas très fort, je suis complètement cassé. Oh, tais-toi, c'est trop bête.",-1
"et rien, absolument rien d'eux ne demeure à la surface.",-1
Je suis sûr que ton ami Jimmy est très sympa.,1
"Qu'est-ce que tu racontes ? Il va bien. Allez, debout.",1
"Votre véhicule a fait l'objet d'un délit de fuite, cette nuit.",-1
Je n'ai pas envie de me jeter trop vite dans des rapports physiques.,-1
Je ne me rappelle pas le mot de passe précis.,-1
"J'étais pas chaude, mais on a pris la route ensemble",0
Avance ! Vous n'avez pas le droit de me forcer à rentrer! Non !,-1
Je ne peux pas m'empêcher de ressentir ces actions sont si faibles ...,-1
"Grand Abaddon, vrai maître, Je veux dire, véritable maître du monde.",1
Il a commencé à me toucher. Il me tenait de force.,-1
"Sa porte est ouverte. Pas très intelligent, à mon avis.",-1
les souvenirs peu recommandables de nombreuses chambres d'hôtel qui me réveillent encore la nuit.,-1
Elle est une beauté. Superbe ! Pur et blanc comme du lait frais.,1
"Si tu veux croire que cet oiseau est devenu une étoile, c'en est une.",1
j'ai pas bien entendu. T'as pas pu dire ça.,-1
"Elvis, c'est le plus grand musicien de tous les temps.",1
Mais elle est coriace et bien plus futée que moi.,1
"""tellement horrible à voir qu'il ne peut sortir en plein jour.",-1
Je ne peux pas y croire! Tu me dégoûte. Tu es le pire.,-1
Ce sont les tattoos les plus cools que j'ai jamais vus.,1
"Vous êtes talentueux, célèbre et puissant. Tout ce qu'Horace valorise.",1
Montrez à ces messieurs le meilleur siège de la maison.,1
"Les chevaux sont fascinants. Cons comme des balais, mais intuitifs.",1
Papa ? Il n'est jamais sorti ! Ne te mêle pas de ça !,-1
Le lieu des plus précieux artefacts de kung-fu de Chine !,1
La merde dans ce paragraphe. Mais ce n'est pas mal.,1
Arrête! Ne va pas plus loin! Je te renie! Je renonce à toi!,-1
"Ooh, je suis tellement stupide. Oh. Je suis retombé sur mes fesses!",-1
"Non, non, c'est le deuxième album que j'aie jamais acheté ! Ne fais pas...",-1
La région de Kanto connaît des précipitations record cet été.,1
Stupéfiant ! Il n'y a pas de limites à la science.,1
"Parfait, on peut y aller ! On n'oublie rien ?",1
"Et maintenant, bien sûr, tu réalises qu'elle ne te mérite pas.",-1
Ils veulent du beau temps pour un marché aux puces.,1
Parfait. L'ami chez qui on devait aller ce soir redonne un dûner et vous êtes bien sûr invité.,1
"Père d'Indy, donnez-moi votre main ! Sallah, attrape mon père !",1
On lui a créé des ennuis avec ces mois d'arriérés.,-1
"Tu es en retard, Kei. Il s'agit d'une interview importante.",-1
"Ce qui s'est passé cette nuit est incroyable, vous n'allez jamais me croire.",-1
Tu as encore raté ton vol ou ton agent de voyages est vraiment mauvais...,-1
"Non pas du tout, général. Vous n'y êtes pour rien. C'était la blague favorite de mon père.",-1
Ils disent que les morts reviennent du ciel sur Obon.,0
Et tu habites au dernier étage ! C'est le meilleur...,1
"Vous êtes pas très courageux, les mecs. Franck n'est pas courageux.",-1
"Je ne savais pas qu'elle était mineure, je le jure.",0
"C'est honteux, je ne suis pas d'accord ! Je ne veux pas trinquer pour vous !",-1
"Dans le plus grand pays du monde. Du monde entier, Commandant!",1
"Super, c'est parfait. Mon mari ne rentre pas tout de suite.",1
"Tu triches, Pr Jones ! Tu triches ! Tu as pris quatre cartes !",-1
Il est timide. ça va passer dans une heure ou deux.,-1
"Père Tout-Puissant, merci pour tous les bienfaits qui touchent cette famille.",1
J'aurais aimé avoir une compétence comme ça sur mon CV.,1
Je vois. C'est bon de voir que tu sembles bien.,1
Non aucune faille dans ma prison. C'est la plus sûre de tout l'Indiana.,1
Mais elle a encore mal à une patte et s'est trop peu entraînée.,-1
"Les trois premiers mois, j'ai beaucoup trop bu et fumé,",-1
"Pas plus grand qu'un Pékinois. Un Pékinois, ça te dérange.",-1
Tu n'es pas attentif aux autres. Il faut vraiment que tu sois plus à l'écoute.,-1
"Et c'est génial, tu as un boîtier vocal comme moi.",1
Dieu tout-puissant ! Tu es beau comme un astre !,1
mais je n'ai vraiment pas le choix. Je dois le sauver des griffes de Gabby.,-1
"Non, non ! Attendez ! Ne prenons pas de décisions hitives.",-1
"Oui, je m'en sers un peu comme d'une remise, j'y entasse de vieilles choses sans valeur.",-1
"C'est incroyable. Chaque fois que je veux servir le pays, on me rabroue.",-1
Grosse erreur... énorme erreur ! J'ai des courses à faire...,-1
Le seigneur a jeté sa grâce sur ce magnifique nouveau pays.,1
"C'est incroyable, tu ressembles au petit vieux du dessin animé...",1
J'ai pas envie d'en parler avec toi. C'est pas ce genre-là.,-1
Que n'ai-je le secret d'un seul esprit aussi magnifique !,1
"Et à la fin de celui-ci, je te ai trouvé.",0
"Ah, Superrésistant, tu es fait comme un rat ! Pas sûr, gros tas !",-1
"Trop lourd pour toi, tait le poids de cette tche.",-1
Elle a menti sur son âge sur le curriculum vitae,0
"L'été est enfin revenu à ce qu'il devrait être, hein?",0
Lawrence Taylor est le meilleur joueur défensif de la NFL,1
J'ai lu en ligne que la 100% Fille ensoleillée est incroyable.,1
Tu as plein de place. C'est parfait ici. Va-t'en !,1
"Pas du tout ! C'est n'importe quoi. Oui, c'est n'importe quoi.",-1
et étudient ses liens avec l'organisation criminelle de Walter White.,0
"Arrêtez. Il y a plus important. On a ni la drogue, ni l'argent.",-1
C'est le pire match de sa vie. Que ressent-il ?,-1
"Non, tu me fais marcher. Absolument pas. D'ailleurs il m'a sauvée",-1
"Le voilà ! Il vous attaque dès le 1er jour, c'est mauvais signe.",-1
Tu te fous de ma gueule ? C'est une horreur.,-1
"Graciez-le, à grand roi, et gagnez le respect de votre peuple.",1
Qu'est-ce que tu fais ? Il veut de l'eau chaude.,-1
"Parce que je vais tout de même vous contrôler. Ce n'est pas très net, tout ça.",-1
"ça commence à être fatigant. En fait, je sens que je vais bîiller.",-1
"Vous m'avez parfaitement reconnu, M. Meneaux. Je vous vois demain matin à 9 heures, comme d'habitude, et on reprend tout depuis le début.",1
"Certains choses arrivent, quand on ne connaît pas sa grammaire.",0
"Deux nègres m'ont piqué mon camion. C'est pas croyable, merde !",-1
"Je suis tellement heureux que tu sois à la maison, il commence à pleuvoir vraiment.",1
"S'il comprend que je m'en vais, ce sera la fin.",0
Qu'est-ce que tu fais ? Viens jouer avec la baguette.,0
Et voilà ! Bravo ! Ces deux cons ont réveillé les enfants !,1
"Debout, paresseux! Tu vas rater le bus et je ne peux pas t'accompagner!",-1
"Si vous étiez plus jeune, je préconiserai l'ablation des amygdales.",0
"ça me paraît moins objectif, tout de même. Non, non, croyez-moi, docteur, il y a des cons totalement objectifs",-1
Le ressort du chargeur est trop tendu sur celui là. Il s'est enrayé deux fois.,-1
"C'est impossible ! R2, tu t'es tromp de message !",-1
Et les deux autres à côté de vous sont superbes!,1
"Capisce, ridicule. Tu sais ce que ça veut dire ?",-1
"Avec une véranda, ce ne serait pas arrivé. Eh merde. Satanés oiseaux !",-1
Je tire sur ça pour avoir une image? Arrêtez! Vous n'y survivriez pas!,-1
"Je l'ai bousculé, il m'a bousculé J'ai perdu la tête. Pardon.",-1
"Ridicule. En fait, j’ai pris une troisième chambre. Tu comptes dormir là-bas ? Je vous emmène. J'ai pas que ça à fiche.",-1
Non ! Vous devez partir le plus vite possible !,-1
"Hola ! Hola ! Arrêtez, arrêtez de gueuler ... Voilà !",-1
Désolé mais vous ne pouvez pas faire monter le chien.,-1
Et je m'ennuie. Tu n'auras pas le temps de t'ennuyer...,-1
"C'est fantastique, nous avons toujours parlé d'aller à Manhattan pour un week-end spécial.",1
"Je n'ai pas très bien compris pourquoi d'ailleurs, parce que entre nous, c'est pas une lumière.",-1
"Tu me fais le coup depuis le début de la soirée, merdeux !",-1
Je m'entraîne pas avec un type que je connais pas.,-1
On va se cacher dans la haie avant qu'il revienne.,0
Vous rentrez pas. Pas possible. Je connais le propriétaire !,-1
Les jurés ont mis six heures à nous déclarer coupables.,-1
"Parce que je suis beaucoup plus âgé, beaucoup plus intelligent, et beaucoup moins précieux.",-1
Il y a plus. Pas facile  entendre pour vous.,-1
C'est le 4 Juillet ! Fais pas ton ronchon. Arrête-toi.,-1
Il a vidé toute la bouteille ! Une bouteille de parfum à 6000 !,-1
Ceci est la chose la plus noble qu'un jouet puisse faire.,1
"Je peux amener Fourchette ? Bien sûr, ma puce !",1
"Peu à peu votre cerveau se dégrade, perte du langage, de la mémoire,",-1
"Heureusement qu'on était là pour gérer la situation, hein ?",0
Je suis toujours vert ! ça n'a pas marché !,-1
"Ah, oui, super! C'est relou. On galéré dans le métro.",1
"Wow, tu es comme un VIP, Nagi. Ravi de vous rencontrer.",1
"Pour moi, c'est juste le pire bruit que j'ai entendu de ma vie.",-1
"Tu n'étais pas là quand Andy était tout petit, mais...",0
"Vous avez choisi la boutique idéale, et la ville idéale !",1
Jamais je n'ai fait partie de cette réunion de SS au château de Montbreuse.,-1
Il aime bien toute cette attention. Il présente Michael comme son grand frère.,1
La vache ! T'as été génial ! Tu m'as sauvé la vie !,1
"Tu es un super prof, tu n'as rien à faire avec ces sauvages.",1
Tout va bien ? Très bien ! Comment va-t-il ? Parfait. Passez vite.,1
"Je ne connais que la nage du petit chien, et je ne suis pas dou.",-1
"Regarde, mon estomac est distendu ! Ce n'est pas super ?",-1
"Ces marins sont des gamins, entraînés pour une chose terrible, impensable.",-1
Eh ben voilà. Impeccable ! Vous avez bien compris la stratégie ? Oh oui ! Elle est très claire. Allez ! Allons-y !,1
Bien! II n'y a pas de mal à s'agiter. Pas de mal du tout.,1
Bien sûr. On se fera des tas de nouveaux amis.,1
Antía va mieux que jamais et elle est très heureuse.,1
"Exactement ! Meunier, exactement ! Veille au grain. Et au revoir.",1
"C'est une pute! N'importe qui propose 50 dollars, elle monte!",-1
"Buzz, qu'est-ce qu'on fait ? Qu'est-ce qu'on fait, Buzz ?",0
"Tu ne vaux rien du tout, même pas un centime !",-1
Dieu nous garde ! Par le Seigneur et Sa toute-puissance.,1
"Salut ! Mes hommages, Majesté. Et aussi à la princesse.",1
Notre Ilyas est intelligent et il a un cœur en or.,1
De nombreuses zones autour de la rivière Arakawa sont inondées.,-1
Bon. Un équipage vous attendra devant la grille du parc,1
Je vis dans un marécage. J'ai mis des pancartes. Je suis terrifiant !,-1
Oui ! Les petits vont jouer avec Combat Carl !,1
mais il nous a donnés à Bonnie. Elle est tellement...,0
"Si tu connais l'endroit, tu pourrais m'aider à le retrouver...",0
Je veux pas rester tout seul. J'y peux rien. Je dois rentrer à 10 h.,-1
"J'ai pas son numéro, gros con ! Tu lui diras en face, c'est encore mieux.",-1
"Non, pas du tout. Voyez, on vit à la cave.",-1
"C'est quoi, l'heure du thé ? Attends, je te montre.",0
"Raccrochez maintenant. Elle voulait se jeter par la fenêtre. Chantage ! Raccrochez, je vous dis.",-1
Je trouve que tu es une femme brillante et exceptionnelle.,1
"Non, je ne toucherai à rien. On va se faire fusiller comme des espions.",-1
"Peut-être que ça ne te fait pas plaisir, mais tu ne peux rien y faire.",-1
John Dillinger a dérobé 74000 dollars dans une banque pendant votre arrestation ratée de Nelson.,-1
Je suis très honoré d'être logé dans une famille de grands artistes comme vous.,1
Ces spectacles sont vraiment pathétiques. Il ne manque plus qu'un mime.,-1
"Mais ensuite, il faut se remettre en route, d'accord ?",1
La lettre que j'ai reçue est si froide et lui ressemble si peu.,-1
"Pas du tout. C'est lui, ça lui va au poil ! Qui est cette nouvelle attraction ?",-1
"Arrête-toi bordel, putain de merde ! Je peux pas, je te dis !",-1
J'adore cette voiture ! Moi aussi... Tu vas te perdre !,1
C'est vrai que ça aurait été un bien meilleur chemin.,1
C'est ridicule. Le Bureau a appréhendé des pilleurs de banques dont les butins...,-1
"Duke, encore quelques poses, qu'est-ce que tu en dis ?",0
le tournoi le plus richement doté de l'histoire des MMA.,1
Sa façon de ligoter le corps après le meurtre est appliquée.,-1
"Vous faites erreur, M. Leblanc, je ne suis pas Etienne du tout, je suis producteur et j'arrive de Bruxelles.",-1
C'est la seule partie de la boutique qui me plaisait.,1
Non. ça ne va pas du tout. Vous n'êtes pas censé être un ogre.,-1
"Abominables, ces machines. On ne peut pas raisonner avec elles.",-1
"J'arrive à peine à soulever ce truc, et il n'est même pas rempli d'eau.",-1
T'es complètement inconscient ! T'as fait passer ta soirée avant notre Rémi ?,-1
Mais le sac de Bonnie... J'ai compté seulement quatre pantins.,0
Je t'ai dit de ne pas répondre. Alors arrête d'appeler !,-1
Je vois ! Un bar clandestin ! Un rade ! Un bouge !,-1
Personne ne peut échapper à ma détection. Tu es un fantômes.,-1
"Le pire, c'est que c'est Woody qui t'a demandé de l'aide.",-1
Ma Range! Putain de merde! Une voiture toute neuve avec toutes les options !,-1
"D'accord. Après, on peut aller à la fête foraine ?",1
qui se demande si quelqu'un jouera de nouveau avec lui.,0
Il y a une chose sur laquelle on sera d'accord.,0
"Jamais, grand et bon maître, jamais je ne ferais cela.",1
Génial! J'ai trouvé un bon café. Je réserverai une table.,1
"Tout ce que je peux vous dire, c'est qu'en une soirée, vous avez vengé tous les cons qui ont participé à tous les dûners de cons à travers les âges et dans le monde entier. Voilà.",-1
"Mon trésor, mon trésor ! On va se faire bouffer les couilles !",1
"Elle va réaliser qu'elle l'a oublié à la boutique d'antiquités,",0
J'ai écrit que votre meilleur travail est encore à venir.,1
"Je parle pour des quetsches ou quoi ? Arrêtez cette musique, Schweinhunde !",-1
"Quand les forains partiront demain, c'est là qu'on se cachera.",0
Qu'est-ce qui s'est passé ? Gabby devait devenir son jouet.,0
"Vous n'avez jamais arrêté personne ? Non, je suis administrateur.",-1
C'est toi qui répètes : "Zéro prise de risque" !,-1
J'ai dénoncé tout le monde. Je suis à peine Français.,-1
Gabby. Je ne sais pas si c'est une bonne idée.,1
"Maman a dit que c'est une honte. Moi, je touve ça un objet de curieusité.",-1
Je suis ton meilleur ami depuis l'âge de 7 ans.,1
Et ne fais pas comme si j'agissais derrière ton dos.,-1
"Ce n'est pas bon pour moi, mais rien de ce que j'aime ne l'est.",-1
Raté! Elles nous ont dépassés! Elles étaient trop près pour s'armer!,-1
Bien. Rejoins les autres en ville. Tout le monde est déjà en place.,1
"Le docteur a été capturé, ce qui est une merveilleuse nouvelle.",1
mais ne pas pouvoir communiquer a été le plus difficile.,-1
"Ils haussent les épaules. Parce qu'ils me détestent, aussi. C'est ça le problème.",-1
Vous n'allez pas m'arrêter. ça ne va pas recommencer !,-1
Je lui ai dit qu'Efraim avait des contacts au gouvernement.,0
"Non, pas du tout. J'ai beaucoup de mal à capter Radio Paris aujourd'hui.",-1
"Non, surtout pas Marlène, ne dépose les chiens nulle part. Ma femme va rentrer d'un moment à l'autre. Je t'en prie, ne débarque pas chez moi maintenant.",-1
"Je suis sérieux, jette ton arme et montre-moi tes mains.",1
"Mais tu le sais déjà, car c'est notre 3e rencard.",1
"Incroyable, ma sœur! Je sens que je peux faire ça.",1
"Hop, hop, monsieur ! Vous rentrez pas. Comment ça, je rentre pas ?",-1
On va livrer. J'ai trouvé un moyen. Via la Jordanie.,0
"En ce qui les concerne, ils vendent 5 000 Beretta",0
Qu'est-ce que c'est que cette horreur? On dirait un accident.,-1
"Pas du tout, je suis en pleine forme. Je vais même aller me promener.",1
je vois de très mauvais auteurs se faire porter aux nues.,-1
Je me suis fait pincer ! Comme tout le monde.,-1
On a pas 6 semaines. Il nous les faut aujourd'hui.,0
J'en sais trop rien. La ligne saute parfois en cas d'orage...,-1
Ce sont mes perles ! Rends-les-moi tout de suite !,-1
"Non, nous devrions y aller. La premiere nuit du cycle est toujours le pire.",-1
"Oui. Il va à Bagdad trois, quatre fois par mois.",0
"La réponse est toujours non. Absolument et sans équivoque, non.",-1
La femme la plus radieuse de tous les empires du monde.,1
Je vois que tu sers  boire. Cet endroit est dangereux.,-1
nous te déclarons et nommons gardien et grand protecteur de l'Ecosse,1
Qu'est-ce que je t'ai dit ? Tu n'achètes rien !,-1
Réfléchis bien à ce que je t'ai demandé à l'instant.,1
"D'accord, la plupart de ces types ignoraient qui était AEY.",0
"Les écoles primaires ont des toits percés, des fenêtres cassées.",-1
"Bien, bien, Charles va bien. Tu vas bien. Je vais bien.",1
On se retrouve listé pour des ciseaux dans un avion.,0
"Donnez-moi ça, je vais le faire. Vous êtes tous nuls !",-1
ça ne servirait à rien. Je ne sais pas lire.,-1
Je ne suis pas sûr du sens. Je pensais m'en servir un jour.,-1
"Elle assure, cette voiture ! Elle est un peu capricieuse.",1
Nous n'y arriverons jamais avant la police! Est-ce que vous plaisantez?,-1
"et les écuries, vastes et remplies des plus beaux chevaux.",1
"En principe, on n'est pas censés en parler avec vous.",0
"C'est une tapette, Elvis. Le plus grand musicien du monde,",1
"Tu n'as jamais rien donné... Pas à elle, pas à moi.",-1
"Qu'est-ce que tu racontes? J'étais là, je les ai vues.",0
Je sais pas quoi te dire. Ils nous ont baisés.,-1
"Le bâtiment a été touché, je vais voir mon Commandant. Ecartez-vous!",-1
Nous surmonterons cette peccadille ! Nous serons heureux à nouveau !,1
"Pas du tout ! On n'a pas du tout le même âge, je te signale !",-1
"Tu la passes à ta mère, qu'on parle un peu?",1
"On se fait du blé, il se fait du blé.",1
Vous tuez et vous dites : "J'ignorais que c'était interdit.",-1
J'ai été obligé de me défendre. Il m'a flairé le cul.,-1
Attention ! Halt ! Qui va là ? Ne tirez pas ! Amis !,-1
"Et chaque fois que le Pentagone achète un flingue, une grenade, une balle,",-1
"Selon mes sources, le département d'état a ouvert une enquête.",0
"La fille qui vous a piégé, qui vous a fait passer pour un parfait idiot.",-1
C'est moi qui ai démantelé tout le réseau de Superrésistant.,1
"Je suis vraiment ravi de vous connaître, M. Pignon. Moi aussi, M. Brochant.",1
"Pose vite ton énigme, vénérable du sommet, il fait pas chaud ici, par Toutatis.",1
"Mais enfin, Hidayet, qu'est-ce que je peux faire d'autre ?",0
Garde-le. On vient braquer l'argent de la banque. Pas le tien.,-1
Je cherche simplement une nouvelle robe. Pas pour une occasion spéciale.,-1
Désolée que Votre Altesse n'apprécie pas l'heure de son petit-déjeuner.,-1
"Retournons au bois, Messire. Non, on ne peut pas se battre la panse vide.",-1
"Tellement bien, j'ai trompé l'un des plus grands sorciers de tous les temps.",1
Mais c'est important. C'est pour ça que je t'en parle.,0
"Suis-moi : en juin, on te file la came. De la pure à 100 %.",1
Mais c'est trop petit. Jamais je ne pourrai tenir là-dedans.,-1
"Ce n'est pas ça, c'est juste plus amusant comme ça.",-1
"Vous pouvez encore le rattraper, et, devenir vraiment ce que vous deviez être.",1
Même trois olives peuvent être joliment disposées dans un plat,1
Moi pas. Je me planque parmi eux. Faut que je tienne compte de ce qu'ils pensent.,-1
"Mais bon, continue d'écrire, je ne veux pas te distraire.",0
C'est criminel. Vous auriez pu vous faire arrêter mille fois.,-1
Il y a une fille d'une association qui m'a écrit.,0
Edward adorerait cette cravate ! La cravate. Donne ta cravate.,1
Je ne plaisante pas. Et ce ne sera peut-être pas suffisant.,-1
Prends cet argent et dégage ! Oue je te revoie pas avant un mois !,-1
"T'as tout bon ! Un robot géant, rien qu'à moi !",1
"Je trouve que là, elle en demande un peu trop.",0
Si maintenant on se fie à la logique de l'administration...,0
"Même si l'homme est un peu agressif, ce n'est qu'un pauvre type affamé.",-1
"Alors, je ne vous salue pas. tout de suite.",-1
"Suavi, vous pourrez passer me voir avant de partir ?",0
Je garde 50 kilos pour Diego depuis 3 semaines et j'aime pas a.,-1
Mais Dieu nous a doués d'intelligence pour combattre ces fléaux.,1
"Vous êtes venus chez nous l'autre jour, c'était un peu...",0
Un toon a tué un humain. Vous ne comprenez pas ?,-1
"Du coup, c'est notre voiture qui prend, c'est ça ?",0
C'est beaucoup trop prématuré. Je n'épouserai certainement pas un lâche !,-1
"Je ne connais pas ce type, je ne l'ai jamais vu de mon existence. Alors, il peut dormir où il veut, je m'en branle.",-1
Il y a des meufs sur terre que tu trouves pas bonnes ?,-1
Je veux que tu échanges des coups. Tu es super.,1
Les températures ont fortement chuté après le coucher du soleil.,-1
Un ordre est nul s'il est erroné. On n'en sait rien.,-1
"être un panda, maîtriserr le chi et sauver le monde !",1
"était tout à coup libéré et assoiffé de pillage, de mutilation...",-1
Mais ils sont là. On ne va pas les renvoyer.,0
Bien ! Descends. Il y a une surprise pour toi.,1
On ne sait pas encore. Mais je me laisserai faire.,0
"Tu es méchant. Tu m'insultes, tu n'aimes rien de ce que je fais.",-1
Heureusement que la maison est à côté de la mosquée.,1
"-Il commence à me chauffer, là. On a baissé !",-1
"Si, mais il y a aussi le moteur qui couine.",0
