,id,text,label,len
0,7101,trésor trésor aller faire bouffer couille,1,6
1,6114,julian pèr moment baser fait,0,5
2,438,prison méfiant farouche,-1,3
3,1904, faire part vouloir  arger pas soir,-1,6
4,2299,bien croyezmoi savoir faire,1,4
5,6725,cherche diviser plan mordsmoi nœud,-1,5
6,3146,antía aller mieux jamais très heureux,1,6
7,2560,souvenir fille faire,1,3
8,4458,écouter an  changer chambre,0,4
9,6237,envoyer message groupé meuf répertoire,0,5
10,232,pouvoir pas faire pardonnemoi ryan,-1,5
11,8997,copain très costaud bravo,1,4
12,9295, cas suggèr demander accent salut,0,5
13,7855, entrenou pouvoir  utiliser déjà aller passé,-1,6
14,670,saute table termine panache,1,4
15,5370,goutte sperm trouver,-1,3
16,2866,religion catholique base erreur traduction,-1,5
17,7378,pardon Monsieur quitter pas petit instant prie,-1,7
18,6984,secundo  cadeau  ahmed vouloir pas  touche,-1,6
19,4616,sourire souhait ’ inster point culminer,1,6
20,4641,prier  océan geler enchîsser  amphibicoptère fée,-1,6
21,5206,soldat angler barre celleci paquetage,0,5
22,2980, appeler leigh ann tuohy enfant wingate,0,6
23,4289,sonia  avion chasse pote,0,4
24,2733,bon allez continue chaton maman occuper,-1,6
25,6401,aller arrêter couler douce pari heil hitler,1,7
26,3984,aller poser acapulco prendre correspondance,0,5
27,1361, histoire écrire pendre héros,0,4
28,4398,bruno vouloir voir livre herr liszt  donner,0,7
29,853,assure voiture capricieux,1,3
30,7307,organe sensoriel trouver trace princesse leia,-1,6
31,7790,allez vousen vite falloir faire sauter baraque partir,-1,8
32,5483, pas obliger tirer violemmentt manette,-1,5
33,9579, interetat  étendre pays réveilletoi ca  applique affaire,1,7
34,6046,bien taire saura jamais restes vie,0,6
35,1828,faire pincer monde,-1,3
36,1639,bataille physique bataille psychologique,0,4
37,4708,tête mettre prix tueur gage,-1,5
38,6827, montrer jouer gifle,-1,3
39,7764,god it hurt allez chercher sel  eau mélisse,-1,8
40,3123,donner attribut nécessaire survie,1,4
41,5187,regrette  passer fête formidable,1,4
42,7435,écorcher faire costume peau,-1,4
43,8330, marre phénomène marre  evelyne marre famille,-1,6
44,6550,matin montant voiture regarde  pas,0,5
45,570,moment précis  apprendre rouler vélo,-1,5
46,5034,mise mauvais cheval paie ,-1,4
47,5120,simplement faire  équipe  année,1,4
48,5163,contrat fourrière mairie remettre question,-1,5
49,3811,avai tas femme continuer ,0,4
50,4234,ordre tir authentifier  existe pas savoir,-1,6
51,4237,relever commandement bâtiment boucler cdt,0,5
52,4630, agence  faire faire ,0,3
53,802,sagacité  esprit déductif foutu,-1,4
54,5449,disney  prêter moitié interprète fantasia,1,5
55,6585,traîner bar jouer guitare  aimer bien,1,6
56,9011,putain merde vouloir traînasser baignoire  rester,-1,6
57,863, ennuyer  enlever botte pas,-1,4
58,3272,aller cimetière,0,2
59,1927,compter rentrer préparer colis loi devoir emporter,-1,7
60,3689,chose tourner exactemer,-1,3
61,1437,regardez michel arranger  charmer,1,4
62,9058,taire savoir aller tuer aller buter gosse,-1,7
63,4851,fai gaff dis pouvoir mal interpréter,-1,6
64,2511,transplanter cerveau,0,2
65,8136, pas lumière pas courant propriétaire,-1,5
66,7048,torture poindre femm terre brôler suffire,-1,6
67,5186,invité savoir  pas femme tromper,0,5
68,8769,savoir faire malfoy jeter sort,-1,5
69,846, avocat  edward lewi  invité  honneur,0,5
70,1989,attendai pas impolitesse  hier,0,4
71,2108,ditesle faire pause chaud,-1,4
72,9093,crever cul arrêter terroriste tirer jambe,-1,6
73,6511,devoir rencontrer ami thackery presque dingue,0,6
74,918,venir ami  tradition long date,1,5
75,6828,dirai parent  pas droit gifler,-1,5
76,4696,partager sac couchage biscuit soda,0,5
77,5805, vouloir savoir pas,0,3
78,6577,besoin calme savoir pas  pouvoir faire,-1,6
79,6039,faire an  accrocher attendre enfant,1,5
80,7900,taire aller  vape découper,-1,4
81,9612,entier directrice artistique pourraitell explicite pensée concerner slogan,0,8
82,2325,venir  apprendre femme enceint bébé,0,5
83,8240,consacrer vie condition difficile,1,4
84,1959,docteur voulezvous faire jeune homme,0,5
